frame_count,yolo_id,track_id,x,y,color,object_type
41,1,27,1238,845,blue,Player
41,2,33,809,808,blue,Player
41,3,26,1483,966,blue,Player
41,4,41,2118,932,blue,Player
41,5,81,1823,861,blue,Player
41,6,31,379,929,blue,Player
41,7,10,414,858,blue,Player
41,8,22,1486,832,blue,Player
41,9,34,1561,840,blue,Player
41,11,28,711,895,blue,Player
41,12,50,2319,1211,blue,Player
41,13,48,707,841,blue,Player
41,14,49,392,830,blue,Player
41,10,49,481,929,yellow,Referee
42,0,27,1245,847,blue,Player
42,1,24,257,995,blue,Player
42,2,26,1488,967,blue,Player
42,3,41,2127,933,blue,Player
42,4,31,384,932,blue,Player
42,5,33,816,810,blue,Player
42,6,10,420,862,blue,Player
42,7,34,1569,841,blue,Player
42,8,81,1831,870,blue,Player
42,10,22,1493,823,blue,Player
42,11,48,713,839,blue,Player
42,12,28,715,898,blue,Player
42,13,50,2335,1207,blue,Player
42,14,43,421,1389,blue,Player
42,9,43,485,931,yellow,Referee
43,0,27,1250,849,blue,Player
43,1,26,1494,970,blue,Player
43,2,33,822,810,blue,Player
43,3,34,1577,843,blue,Player
43,4,41,2137,935,blue,Player
43,5,81,1837,874,blue,Player
43,6,31,389,933,blue,Player
43,7,24,260,998,blue,Player
43,9,22,1505,822,blue,Player
43,10,10,426,865,blue,Player
43,11,50,2351,1204,blue,Player
43,12,48,718,857,blue,Player
43,13,43,430,1387,blue,Player
43,14,28,721,900,blue,Player
43,8,28,493,933,yellow,Referee
44,0,27,1252,850,blue,Player
44,1,33,826,811,blue,Player
44,2,41,2141,937,blue,Player
44,3,26,1498,972,blue,Player
44,4,24,265,1000,blue,Player
44,5,34,1581,844,blue,Player
44,6,81,1840,875,blue,Player
44,8,50,2354,1208,blue,Player
44,9,31,391,936,blue,Player
44,10,22,1504,820,blue,Player
44,11,28,722,900,blue,Player
44,12,10,429,863,blue,Player
44,13,48,722,876,blue,Player
44,14,43,434,1396,blue,Player
44,7,43,495,934,yellow,Referee
44,7,1,495,934,yellow,Ball
45,0,27,1258,853,blue,Player
45,1,34,1588,847,blue,Player
45,2,26,1505,975,blue,Player
45,3,41,2152,939,blue,Player
45,4,24,270,1001,blue,Player
45,5,81,1842,877,blue,Player
45,7,33,831,816,blue,Player
45,8,28,730,904,blue,Player
45,9,43,438,1391,blue,Player
45,10,22,1507,822,blue,Player
45,11,31,398,937,blue,Player
45,12,97,1506,890,blue,Player
45,13,50,2363,1201,blue,Player
45,14,48,727,837,blue,Player
45,15,10,434,866,blue,Player
45,16,49,410,853,blue,Player
45,6,49,501,937,yellow,Referee
46,0,24,275,1002,blue,Player
46,1,27,1262,854,blue,Player
46,2,81,1846,877,blue,Player
46,3,26,1513,978,blue,Player
46,5,33,838,816,blue,Player
46,6,34,1595,849,blue,Player
46,7,31,404,938,blue,Player
46,8,10,441,870,blue,Player
46,9,28,733,904,blue,Player
46,10,97,1517,906,blue,Player
46,11,22,1515,822,blue,Player
46,12,48,731,869,blue,Player
46,13,41,2162,940,blue,Player
46,14,50,2382,1217,blue,Player
46,4,50,508,939,yellow,Referee
47,0,24,278,1004,blue,Player
47,1,41,2165,941,blue,Player
47,2,27,1265,856,blue,Player
47,4,31,408,939,blue,Player
47,5,26,1516,979,blue,Player
47,6,81,1853,879,blue,Player
47,7,33,841,818,blue,Player
47,8,34,1600,851,blue,Player
47,9,28,736,903,blue,Player
47,10,22,1522,825,blue,Player
47,11,10,444,869,blue,Player
47,3,10,510,938,yellow,Referee
48,0,26,1524,981,blue,Player
48,1,27,1270,856,blue,Player
48,2,41,2175,944,blue,Player
48,3,24,284,1004,blue,Player
48,4,34,1604,852,blue,Player
48,5,31,411,940,blue,Player
48,6,10,449,873,blue,Player
48,7,33,847,819,blue,Player
48,9,28,743,908,blue,Player
48,10,22,1521,832,blue,Player
48,11,81,1866,881,blue,Player
48,12,48,736,838,blue,Player
48,13,49,421,842,blue,Player
48,8,49,516,941,yellow,Referee
49,0,24,290,1008,blue,Player
49,1,26,1529,984,blue,Player
49,2,27,1274,857,blue,Player
49,3,41,2183,946,blue,Player
49,4,31,419,943,blue,Player
49,5,34,1612,852,blue,Player
49,6,10,455,872,blue,Player
49,7,33,853,819,blue,Player
49,9,28,748,908,blue,Player
49,10,22,1528,826,blue,Player
49,11,40,1865,796,blue,Player
49,12,49,425,847,blue,Player
49,13,50,2417,1213,blue,Player
49,14,48,740,840,blue,Player
49,8,48,522,948,yellow,Referee
50,0,26,1532,984,blue,Player
50,1,27,1276,859,blue,Player
50,2,24,293,1009,blue,Player
50,3,41,2190,948,blue,Player
50,4,81,1878,880,blue,Player
50,5,31,422,944,blue,Player
50,6,34,1615,854,blue,Player
50,7,10,457,871,blue,Player
50,8,33,856,819,blue,Player
50,9,28,751,911,blue,Player
50,10,22,1532,825,blue,Player
50,12,105,1616,791,blue,Player
50,13,48,743,844,blue,Player
50,14,43,451,1457,blue,Player
50,15,50,2423,1210,blue,Player
50,16,40,1874,793,blue,Player
50,17,49,427,864,blue,Player
50,11,49,525,948,yellow,Referee
51,0,26,1538,986,blue,Player
51,1,41,2199,950,blue,Player
51,2,27,1278,859,blue,Player
51,3,81,1886,874,blue,Player
51,4,24,295,1008,blue,Player
51,5,28,753,912,blue,Player
51,7,10,462,874,blue,Player
51,8,34,1620,856,blue,Player
51,9,22,1539,831,blue,Player
51,10,31,424,946,blue,Player
51,11,105,1624,790,blue,Player
51,12,43,459,1452,blue,Player
51,13,33,860,823,blue,Player
51,6,33,530,951,yellow,Referee
52,0,26,1542,988,blue,Player
52,1,41,2208,952,blue,Player
52,2,10,467,878,blue,Player
52,3,24,304,1012,blue,Player
52,4,81,1892,868,blue,Player
52,5,27,1280,862,blue,Player
52,6,28,760,914,blue,Player
52,8,34,1627,855,blue,Player
52,9,22,1546,831,blue,Player
52,10,33,869,825,blue,Player
52,11,49,438,840,blue,Player
52,12,31,430,946,blue,Player
52,13,105,1630,816,blue,Player
52,7,105,535,951,yellow,Referee
53,0,24,306,1013,blue,Player
53,1,27,1283,862,blue,Player
53,2,81,1895,862,blue,Player
53,3,41,2213,954,blue,Player
53,4,26,1545,990,blue,Player
53,5,28,765,915,blue,Player
53,7,10,470,880,blue,Player
53,8,33,872,825,blue,Player
53,9,31,434,948,blue,Player
53,10,34,1630,856,blue,Player
53,11,22,1549,834,blue,Player
53,12,49,439,847,blue,Player
53,13,48,759,845,blue,Player
53,14,105,1636,825,blue,Player
53,15,97,1543,952,blue,Player
53,16,50,2466,1200,blue,Player
53,6,50,539,953,yellow,Referee
54,0,24,313,1015,blue,Player
54,1,81,1902,854,blue,Player
54,2,31,440,949,blue,Player
54,3,22,1555,835,blue,Player
54,4,41,2223,957,blue,Player
54,5,33,878,828,blue,Player
54,6,27,1288,864,blue,Player
54,7,97,1551,994,blue,Player
54,8,10,478,880,blue,Player
54,9,28,768,915,blue,Player
54,10,48,766,886,blue,Player
54,11,34,1635,858,blue,Player
54,12,49,447,856,blue,Player
54,13,40,1896,795,blue,Player
54,14,105,1643,829,blue,Player
54,16,50,2484,1231,blue,Player
54,15,50,543,954,yellow,Referee
55,0,27,1290,867,blue,Player
55,1,24,319,1015,blue,Player
55,2,10,482,878,blue,Player
55,3,31,445,952,blue,Player
55,4,81,1910,843,blue,Player
55,5,22,1560,836,blue,Player
55,6,28,774,918,blue,Player
55,7,26,1560,994,blue,Player
55,8,33,884,828,blue,Player
55,9,34,1645,861,blue,Player
55,10,32,549,955,blue,Player
55,11,40,1899,808,blue,Player
55,12,97,1550,933,blue,Player
55,13,51,1573,932,blue,Player
55,14,105,1648,827,blue,Player
55,15,49,454,861,blue,Player
55,16,50,2508,1196,blue,Player
56,0,24,322,1018,blue,Player
56,1,27,1292,867,blue,Player
56,2,10,485,881,blue,Player
56,3,31,449,953,blue,Player
56,4,28,776,922,blue,Player
56,5,33,888,829,blue,Player
56,6,81,1912,842,blue,Player
56,7,41,2236,960,blue,Player
56,8,22,1564,835,blue,Player
56,9,26,1561,996,blue,Player
56,10,34,1644,862,blue,Player
56,11,40,1907,820,blue,Player
56,12,97,1557,962,blue,Player
56,13,51,1572,929,blue,Player
56,14,49,456,850,blue,Player
56,15,105,1652,828,blue,Player
56,17,50,2511,1229,blue,Player
56,16,50,553,954,yellow,Referee
57,0,27,1294,871,blue,Player
57,1,24,327,1019,blue,Player
57,2,22,1572,837,blue,Player
57,3,41,2246,964,blue,Player
57,4,10,490,883,blue,Player
57,5,31,454,954,blue,Player
57,6,28,784,922,blue,Player
